SC,名称,ema26,ema12
1301,極洋,2871.5985450322,2851.219609514168
1332,日本水産,646.8458771934937,649.6888222290825
1333,マルハニチロ,2837.366373690987,2809.833327150052
1352,ホウスイ,865.1681417780585,864.5030243456216
1376,カネコ種苗,1499.7168961292919,1485.9961769658419
1377,サカタのタネ,3641.5971999992976,3662.9012857953
1379,ホクト,1985.0774479390852,1997.3801592867824
1380,秋川牧園,816.5059454896855,817.9725039882054
1381,アクシーズ,2365.925718015388,2356.4151685532424
1382,ホーブ,1524.954838499514,1670.6544124828602
1383,ベルグアース,2429.780315112249,2465.252481900625
1384,ホクリヨウ,685.8338510748583,687.777688122338
1400,ルーデン・ホールディングス,274.9858807336819,273.1268555841442
1401,エムビーエス,1006.2697719971919,1057.1949458107683
1407,ウエストホールディングス,1670.290635623779,1760.1090283628814
1413,ヒノキヤグループ,2249.723228107033,2249.088642007478
1414,ショーボンドホールディングス,4476.336748014815,4551.079686688955
1417,ミライト・ホールディングス,1678.495890927966,1665.8299754218344
1418,インターライフホールディングス,252.71822391523517,251.9127733077833
1419,タマホーム,1767.1762104018896,1690.9904471844047
1420,サンヨーホームズ,677.8091724406769,679.6418039848686
1429,日本アクア,659.9393938611614,643.4963169159934
1430,ファーストコーポレーション,643.5514057452008,616.8376170143954
1431,Lib_Work,4047.606329400343,3961.3571254021936
1433,ベステラ,1249.5402171870228,1248.215724733701
1434,JESCOホールディングス,413.4680349501326,447.33509704520964
1435,TATERU,220.37848031223427,218.57842739995155
1436,フィット,652.4293056900727,672.012398319808
1438,岐阜造園,1484.1531362873843,1510.9543440683497
1439,安江工務店,1301.4921622816232,1346.209691517244
1443,技研ホールディングス,392.29108186846236,396.22293793190045
1446,キャンディル,785.2277515482618,812.7755141787559
1447,ITbookホールディングス,434.1364796818646,471.1337665422336
1448,スペースバリューホールディングス,523.4972424024626,526.5106691065988
1449,FUJIジャパン,624.2282965862888,641.9081196665178
1451,KHC,787.108409188536,793.5994283445478
1491,中外鉱業,20.009667552093287,19.904701636038173
1514,住石ホールディングス,151.390422909021,153.4720733557283
1515,日鉄鉱業,4881.812922910603,5013.664375760812
1518,三井松島ホールディングス,1215.8868496176137,1213.1832915481734
1605,国際石油開発帝石,1104.515027024147,1131.5517866952903
1662,石油資源開発,2978.4178684115363,3009.776538121618
1663,K＆Oエナジーグループ,1610.011221009384,1617.3458821919835
1711,省電舎ホールディングス,332.808542625786,341.27673034680305
1712,ダイセキ環境ソリューション,1021.9989257763694,1048.7114277737376
1716,第一カッター興業,1802.9207880619065,1794.3998881687305
1717,明豊ファシリティワークス,760.7321308581904,798.2381746107698
1718,美樹工業,4251.016156877459,4260.8786479618475
1719,安藤・間,937.8109806098797,949.1939838024986
1720,東急建設,785.7947829319662,778.3511153978884
1721,コムシスホールディングス,3178.8482689936795,3165.469348389925
1722,ミサワホーム,,
1723,日本電技,3117.528005047338,3161.8189075444816
1724,シンクレイヤ,1494.9524248448183,1509.4645606939237
1726,ビーアールホールディングス,487.2357812138701,490.5709039016264
1728,ミサワホーム中国,307.0388584803431,310.30948002673944
1730,麻生フオームクリート,571.2738378139105,568.9616508563491
1734,北弘電社,,
1736,オーテック,2440.4223950692995,2470.4581975012643
1737,三井金属エンジニアリング,950.3054717274567,952.6393164805256
1738,NITTOH,536.0113068299996,545.2544786910344
1739,シード平和,809.6605121615428,856.9189634354125
1743,コーアツ工業,,
1757,クレアホールディングス,19.46331424642993,21.141381417116165
1758,太洋基礎工業,6910.95241039945,7557.005819246782
1762,高松コンストラクショングループ,2799.715474438103,2829.073402574641
1764,工藤建設,,
1766,東建コーポレーション,7351.28006734664,7396.355599439423
1768,ソネック,821.0667833504306,829.3761517274595
1770,藤田エンジニアリング,843.2441149895207,851.1302187131357
1771,日本乾溜工業,,
1775,富士古河E＆C,2034.5919936814223,2063.295166143398
1776,三井住建道路,822.9267854112666,841.2255490513917
1777,川崎設備工業,,
1780,ヤマウラ,893.9101696614049,901.0797256546184
1782,常磐開発,6145.186835860375,6329.896881704743
1783,アジアゲートホールディングス,63.10269560989703,62.595597933970055
1787,ナカボーテック,,
1788,三東工業社,,
1789,ETSホールディングス,831.685365032268,930.2711406229973
1793,大本組,5131.562529490542,5202.190122653136
1795,マサル,,
1798,守谷商会,,
1799,第一建設工業,1714.2133739263509,1736.3413302493711
1801,大成建設,4443.483301340529,4524.409318413753
1802,大林組,1215.0532573396104,1230.1780561652913
1803,清水建設,1103.1119781193615,1119.2069428439283
1805,飛島建設,1485.2249818111154,1504.153530802755
1807,佐藤渡辺,2148.7394263784076,2222.131082756433
1808,長谷工コーポレーション,1455.756715521565,1469.8970540795708
1810,松井建設,806.175046568401,808.0351068278686
1811,錢高組,4039.8309472922583,4035.1894093454066
1812,鹿島建設,1473.6438305828292,1472.789631482479
1813,不動テトラ,1640.0563377118838,1681.2271091651774
1814,大末建設,987.723320427247,996.4900909002216
1815,鉄建建設,2880.9064382600877,2856.6758115056805
1820,西松建設,2452.667381478079,2475.9569713148762
1821,三井住友建設,627.539322445356,633.8517755609645
1822,大豊建設,2954.719831561348,2921.9761609390343
1824,前田建設工業,1045.974576808426,1061.7201930940753
1826,佐田建設,445.6360473650945,464.625202272133
1827,ナカノフドー建設,476.74439950325836,472.62208850400134
1828,田辺工業,882.8897464682018,932.933812973329
1832,北海電気工事,,
1833,奥村組,3026.531758656553,3009.876588450352
1835,東鉄工業,3267.796523385209,3243.8409460713947
1840,土屋ホールディングス,215.2084604994205,232.46113233039773
1841,サンユー建設,987.1620494397195,1011.2233029158087
1844,大盛工業,239.39789913380656,247.11666767497908
1847,イチケン,1797.9704170477353,1798.6048425031383
1848,富士ピー・エス,591.9044857342317,598.3169172525172
1850,南海辰村建設,342.7412511580397,344.2399099929756
1852,淺沼組,4561.106763184965,4631.5883339164
1853,森組,313.8080609482381,315.9223861341214
1860,戸田建設,712.8968721480419,724.2810469576615
1861,熊谷組,3305.5294072584697,3314.477236916265
1866,北野建設,2673.4886374314688,2635.9555652435542
1867,植木組,2564.4826560263355,2561.4615104037193
1869,名工建設,1097.9109983221372,1117.832013231362
1870,矢作建設工業,811.3927911097327,824.5631765396572
1871,ピーエス三菱,728.0397314651399,733.0997476751071
1873,日本ハウスホールディングス,497.9480855978722,495.87560358012274
1878,大東建託,13611.900621952615,13598.975449856458
1879,新日本建設,951.156313372316,955.5810574511204
1881,NIPPO,2325.1372845175,2348.8493250902616
1882,東亜道路工業,3580.124479757355,3597.9114035693465
1883,前田道路,2623.3526647865024,2675.3110088996773
1884,日本道路,6937.648055490001,6930.120509276926
1885,東亜建設工業,1623.4406585243228,1646.7040193290136
1887,日本国土開発,651.4238861921117,657.42249594654
1888,若築建設,1731.6247166483245,1742.9508164767178
1890,東洋建設,521.0059589908158,524.3216387545829
1892,徳倉建設,3344.2543713276555,3380.482425497405
1893,五洋建設,670.5127186138761,678.6983555541148
1898,世紀東急工業,891.927570915406,904.5910791771807
