SC,名称,buy_date,buy_price,sell_date,sell_price
7273,イクヨ,20190705,1355.0,,
2911,旭松食品,20190712,2016.0,,
4364,マナック,20190730,535.0,,
3945,スーパーバッグ,20190802,1733.0,,
6743,大同信号,20190807,514.0,,
9846,天満屋ストア,20190808,1259.0,,
5386,鶴弥,20190813,411.0,,
9059,カンダホールディングス,20190814,816.0,,
2805,ヱスビー食品,20190819,4015.0,,
5753,日本伸銅,20190822,1156.0,,
4364,マナック,20190906,513.0,,
5104,日東化工,20190909,517.0,,
5644,メタルアート,20190924,1293.0,,
2903,シノブフーズ,20190925,681.0,,
9082,大和自動車交通,20190925,1015.0,,
9360,鈴与シンワート,20190930,695.0,,
2806,ユタカフーズ,20191001,1635.0,,
1776,三井住建道路,20191004,768.0,,
9059,カンダホールディングス,20191004,818.0,,
5386,鶴弥,20191007,411.0,,
9059,カンダホールディングス,20191009,819.0,,
4364,マナック,20191010,515.0,,
9761,東海リース,20191010,1654.0,,
7946,光陽社,20191011,719.0,,
1776,三井住建道路,20191015,767.0,,
9059,カンダホールディングス,20191017,821.0,,
5660,神鋼鋼線工業,20191018,1142.0,,
7946,光陽社,20191018,717.0,,
4952,エス・ディー・エスバイオテック,20191021,842.0,,
9313,丸八倉庫,20191021,721.0,,
4616,川上塗料,20191023,1384.0,,
3435,サンコーテクノ,20191024,928.0,,
9761,東海リース,20191024,1659.0,,
1776,三井住建道路,20191031,767.0,,
2805,ヱスビー食品,20191031,4076.0,,
6870,日本フェンオール,20191031,1381.0,,
9686,東洋テック,20191031,1123.0,,
9761,東海リース,20191101,1655.0,,
4107,伊勢化学工業,20191105,3203.0,,
6016,ジャパンエンジンコーポレーション,20191105,698.0,,
7875,竹田印刷,20191105,597.0,,
4952,エス・ディー・エスバイオテック,20191106,848.0,,
5104,日東化工,20191106,524.0,,
2805,ヱスビー食品,20191107,4071.0,,
5161,西川ゴム工業,20191107,1747.0,,
2831,はごろもフーズ,20191108,2623.0,,
9761,東海リース,20191108,1655.0,,
4952,エス・ディー・エスバイオテック,20191111,848.0,,
5104,日東化工,20191112,523.0,,
6137,小池酸素工業,20191112,2186.0,,
4364,マナック,20191115,536.0,,
6137,小池酸素工業,20191115,2186.0,,
1938,日本リーテック,20191121,1264.0,,
7758,セコニック,20191122,994.0,,
8144,電響社,20191125,1211.0,,
5237,ノザワ,20191126,655.0,,
4341,西菱電機,20191128,883.0,,
5386,鶴弥,20191128,430.0,,
1776,三井住建道路,20191202,778.0,,
9686,東洋テック,20191202,1131.0,,
4341,西菱電機,20191203,882.0,,
4366,ダイトーケミックス,20191203,446.0,,
4115,本州化学工業,20191204,1233.0,,
6743,大同信号,20191204,509.0,,
7460,ヤギ,20191204,1589.0,,
8044,大都魚類,20191209,951.0,,
2805,ヱスビー食品,20191210,4049.0,,
9362,兵機海運,20191210,1375.0,,
4616,川上塗料,20191212,1395.0,,
7945,コマニー,20191212,1381.0,,
9362,兵機海運,20191212,1378.0,,
5967,TONE,20191213,2633.0,,
4761,さくらケーシーエス,20191216,942.0,,
3248,アールエイジ,20191217,664.0,,
8044,大都魚類,20191217,952.0,,
2689,カワニシホールディングス,20191218,1394.0,,
4341,西菱電機,20191218,890.0,,
2903,シノブフーズ,20191219,700.0,,
6016,ジャパンエンジンコーポレーション,20191219,728.0,,
9313,丸八倉庫,20191219,744.0,,
9761,東海リース,20191219,1647.0,,
2805,ヱスビー食品,20191220,4041.0,,
2831,はごろもフーズ,20191220,2630.0,,
1938,日本リーテック,20191223,1302.0,,
4761,さくらケーシーエス,20191223,951.0,,
3787,テクノマセマティカル,20191224,1130.0,,
