SC,名称,buy_date,buy_price,sell_date,sell_price,flg,株価
4094,日本化学産業,20200407,927.0,20200409,922.0,1.0,922.0
6279,瑞光,20200407,4037.0,20200413,4050.0,1.0,4050.0
5974,中国工業,20200407,351.0,20200416,376.0,1.0,376.0
6279,瑞光,20200415,4049.0,20200416,4110.0,1.0,4110.0
4341,西菱電機,20200420,816.0,20200421,811.0,1.0,811.0
4750,ダイサン,20200420,623.0,20200421,623.0,1.0,623.0
6091,ウエスコホールディングス,20200420,334.0,20200421,332.0,1.0,332.0
6643,戸上電機製作所,20200421,1445.0,20200422,1434.0,1.0,1434.0
9028,ゼロ,20200421,780.0,20200422,775.0,1.0,775.0
9797,大日本コンサルタント,20200422,570.0,20200423,582.0,1.0,582.0
4094,日本化学産業,20200421,921.0,20200424,928.0,1.0,928.0
2654,アスモ,20200423,427.0,20200424,430.0,1.0,430.0
3449,テクノフレックス,20200423,716.0,20200424,712.0,1.0,712.0
6336,石井表記,20200423,480.0,20200424,501.0,1.0,501.0
6832,アオイ電子,20200423,2009.0,20200424,2108.0,1.0,2108.0
9055,アルプス物流,20200421,659.0,20200427,684.0,1.0,684.0
6299,神鋼環境ソリューション,20200423,1664.0,20200427,1705.0,1.0,1705.0
6382,トリニティ工業,20200423,651.0,20200427,662.0,1.0,662.0
9713,ロイヤルホテル,20200424,1287.0,20200427,1287.0,1.0,1287.0
2654,アスモ,20200427,430.0,20200428,434.0,1.0,434.0
4524,森下仁丹,20200427,1882.0,20200428,1871.0,1.0,1871.0
8931,和田興産,20200427,584.0,20200428,584.0,1.0,584.0
4342,セコム上信越,20200423,3219.0,20200430,3360.0,1.0,3360.0
2393,日本ケアサプライ,20200427,1267.0,20200501,1284.0,1.0,1284.0
3440,日創プロニティ,20200427,506.0,20200501,518.0,1.0,518.0
6977,日本抵抗器製作所,20200427,648.0,20200501,686.0,1.0,686.0
5271,トーヨーアサノ,20200430,1378.0,20200501,1367.0,1.0,1367.0
7879,ノダ,20200430,608.0,20200501,600.0,1.0,600.0
8931,和田興産,20200430,589.0,20200501,591.0,1.0,591.0
9307,杉村倉庫,20200427,396.0,20200507,410.0,1.0,410.0
8144,電響社,20200428,907.0,20200507,955.0,1.0,955.0
4094,日本化学産業,20200428,924.0,20200508,937.0,1.0,937.0
3856,Abalance,20200507,576.0,20200508,594.0,1.0,594.0
7681,レオクラン,20200507,1922.0,20200508,1841.0,1.0,1841.0
5341,アサヒ衛陶,20200508,331.0,20200512,333.0,1.0,333.0
6945,富士通フロンテック,20200508,1022.0,20200512,1064.0,1.0,1064.0
2159,フルスピード,20200511,408.0,20200512,415.0,1.0,415.0
9797,大日本コンサルタント,20200423,574.0,20200513,600.0,1.0,600.0
9797,大日本コンサルタント,20200428,584.0,20200513,600.0,1.0,600.0
6357,三精テクノロジーズ,20200508,580.0,20200513,595.0,1.0,595.0
9969,ショクブン,20200512,352.0,20200513,346.0,1.0,346.0
2929,ファーマフーズ,20200428,759.0,20200514,875.0,1.0,875.0
3306,日本製麻,20200430,274.0,20200514,281.0,1.0,281.0
4481,ベース,20200507,7479.0,20200514,7970.0,1.0,7970.0
4481,ベース,20200508,7521.0,20200514,7970.0,1.0,7970.0
3248,アールエイジ,20200511,456.0,20200514,455.0,1.0,455.0
3469,デュアルタップ,20200430,307.0,20200515,402.0,1.0,402.0
5161,西川ゴム工業,20200514,1181.0,20200515,1180.0,1.0,1180.0
5237,ノザワ,20200514,565.0,20200515,565.0,1.0,565.0
2654,アスモ,20200511,433.0,20200518,503.0,1.0,503.0
4524,森下仁丹,20200515,1880.0,20200518,1893.0,1.0,1893.0
5921,川岸工業,20200515,2042.0,20200519,2105.0,1.0,2105.0
6899,ASTI,20200515,1269.0,20200519,1301.0,1.0,1301.0
1966,高田工業所,20200518,703.0,20200519,721.0,1.0,721.0
3241,ウィル,20200518,249.0,20200519,252.0,1.0,252.0
7991,マミヤ・オーピー,20200518,715.0,20200519,717.0,1.0,717.0
6894,パルステック工業,20200519,1667.0,20200520,1714.0,1.0,1714.0
9797,大日本コンサルタント,20200519,597.0,20200520,603.0,1.0,603.0
7831,ウイルコホールディングス,20200519,136.0,20200521,137.0,1.0,137.0
4251,恵和,20200520,1324.0,20200521,1311.0,1.0,1311.0
2459,アウンコンサルティング,20200519,147.0,20200522,156.0,1.0,156.0
5856,エルアイイーエイチ,20200521,56.0,20200522,56.0,1.0,56.0
6946,日本アビオニクス,20200515,1558.0,20200526,2677.0,1.0,2677.0
3597,自重堂,20200519,6146.0,20200526,6250.0,1.0,6250.0
5341,アサヒ衛陶,20200514,335.0,20200527,397.0,1.0,397.0
9268,オプティマスグループ,20200520,720.0,20200529,808.0,1.0,808.0
3597,自重堂,20200528,6207.0,20200529,6220.0,1.0,6220.0
3143,オーウイル,20200520,1017.0,20200601,1027.0,1.0,1027.0
