SC,名称,ema26,ema12
1301,極洋,2694.7241463325363,2725.7192746456835
1332,日本水産,493.44105474426124,501.38380599067455
1333,マルハニチロ,2297.7335749774784,2307.2266975872662
1352,ホウスイ,902.533816572616,919.9106239393419
1376,カネコ種苗,1439.761303666389,1434.62032062002
1377,サカタのタネ,3571.802459542527,3568.3551126913694
1379,ホクト,1981.017866182949,1987.8353528095568
1380,秋川牧園,810.9255682052182,813.5467899342888
1381,アクシーズ,2616.2693255618487,2703.4020142461454
1382,ホーブ,903.7313830391237,913.3031946002803
1383,ベルグアース,2112.4839054270506,2104.0623037234986
1384,ホクリヨウ,638.1679336838974,643.7425501666977
1400,ルーデン・ホールディングス,186.87775878979616,200.32337360672147
1401,エムビーエス,724.6576217199458,733.5742729828999
1407,ウエストホールディングス,1822.578072857737,1855.3238002034523
1413,ヒノキヤグループ,1688.11921409734,1754.0868588976805
1414,ショーボンドホールディングス,4791.820226613673,4922.999038234262
1417,ミライト・ホールディングス,1486.6638348086087,1508.7727128874856
1418,インターライフホールディングス,186.89689051188194,189.35788061710878
1419,タマホーム,1295.9132261745847,1287.3972945151825
1420,サンヨーホームズ,629.4135261235414,638.8800268648989
1429,日本アクア,597.7900841104515,595.1870340180583
1430,ファーストコーポレーション,532.0738050988649,552.1076503182613
1431,Lib_Work,1770.8079459198973,1893.701576373739
1433,ベステラ,1041.309061034565,1065.1613627035954
1434,JESCOホールディングス,328.2891979888093,338.55250186096424
1435,TATERU,161.7644562819254,172.73835881484598
1436,フィット,557.6259092575016,575.6715936347105
1438,岐阜造園,,
1439,安江工務店,,
1443,技研ホールディングス,315.138208407974,318.81715053037607
1446,キャンディル,518.6669575582804,531.4992601633232
1447,ITbookホールディングス,476.84942486452303,500.6778196855294
1448,スペースバリューホールディングス,365.0916848919466,371.0813255248945
1449,FUJIジャパン,,
1451,KHC,588.0132826278077,606.1611540570655
1491,中外鉱業,17.09467957761997,17.432118025295814
1514,住石ホールディングス,116.5938907345523,118.56151293148187
1515,日鉄鉱業,4504.790366271298,4506.849287674585
1518,三井松島ホールディングス,874.7250169766658,887.9192378223357
1605,国際石油開発帝石,739.6049253831495,756.2967148353462
1662,石油資源開発,2027.2263853583884,2055.1916638958764
1663,K＆Oエナジーグループ,1549.4751077583303,1541.4479821632717
1711,省電舎ホールディングス,298.48473268213166,312.8910473123037
1712,ダイセキ環境ソリューション,1004.4962236406127,1004.0096356702061
1716,第一カッター興業,1902.1410709814008,2015.1644208207188
1717,明豊ファシリティワークス,555.956949239023,563.1677893220025
1718,美樹工業,,
1719,安藤・間,683.4893587992585,685.3558621768873
1720,東急建設,580.2201022021488,587.236013650681
1721,コムシスホールディングス,2969.883953705254,2988.2263032136807
